# t,R(g),TS#(g),P(g)
9.603235983092315407e-11,7.895310517628484348e-01,0.000000000000000000e+00,2.104689482371515652e-01
1.005948001804114943e-10,7.821063558245182623e-01,0.000000000000000000e+00,2.178936441754817377e-01
1.021869113499414903e-10,7.795603165452075212e-01,0.000000000000000000e+00,2.204396834547925066e-01
1.053739993597285394e-10,7.745322623720936051e-01,0.000000000000000000e+00,2.254677376279065060e-01
1.103802554520726447e-10,7.668156935481865721e-01,0.000000000000000000e+00,2.331843064518135389e-01
1.135410126110460917e-10,7.620555486476000562e-01,0.000000000000000000e+00,2.379444513523999716e-01
1.156243557964572738e-10,7.589644034781808379e-01,0.000000000000000000e+00,2.410355965218191621e-01
1.211176002319588679e-10,7.509869381458880166e-01,0.000000000000000000e+00,2.490130618541120111e-01
1.248951138721506931e-10,7.456437518470999670e-01,0.000000000000000000e+00,2.543562481528999775e-01
1.268718254462975032e-10,7.428930235466589815e-01,0.000000000000000000e+00,2.571069764533410740e-01
1.328994304811889229e-10,7.346928096837516131e-01,0.000000000000000000e+00,2.653071903162484424e-01
1.362492151332553204e-10,7.302553353440915940e-01,0.000000000000000000e+00,2.697446646559083505e-01
1.392134034494570998e-10,7.263984179955834675e-01,0.000000000000000000e+00,2.736015820044165325e-01
1.458273495214437659e-10,7.180230716933926338e-01,0.000000000000000000e+00,2.819769283066073107e-01
1.476033163943599218e-10,7.158272068053030956e-01,0.000000000000000000e+00,2.841727931946969044e-01
1.527555202410535844e-10,7.095806945039389024e-01,0.000000000000000000e+00,2.904193054960611531e-01
1.589574176554645232e-10,7.022998839767146118e-01,0.000000000000000000e+00,2.977001160232853882e-01
1.600128442345683485e-10,7.010861333307282228e-01,0.000000000000000000e+00,2.989138666692718327e-01
1.676149593784378734e-10,6.925547934611097078e-01,0.000000000000000000e+00,3.074452065388902922e-01
1.703115189165691505e-10,6.896159438194006119e-01,0.000000000000000000e+00,3.103840561805993326e-01
1.755782464953268256e-10,6.840041658559663507e-01,0.000000000000000000e+00,3.159958341440336493e-01
1.816656201776737519e-10,6.777237066432457713e-01,0.000000000000000000e+00,3.222762933567542842e-01
1.839198646510512635e-10,6.754524827686213539e-01,0.000000000000000000e+00,3.245475172313786461e-01
1.926577881284475519e-10,6.669185994208357560e-01,0.000000000000000000e+00,3.330814005791641885e-01
1.930197214387783533e-10,6.665741515314305143e-01,0.000000000000000000e+00,3.334258484685694857e-01
2.018108451578486166e-10,6.584207748101886803e-01,0.000000000000000000e+00,3.415792251898113197e-01
2.043738226998829806e-10,6.561192155239277124e-01,0.000000000000000000e+00,3.438807844760722321e-01
2.113987584876221264e-10,6.499798806446194233e-01,0.000000000000000000e+00,3.500201193553804657e-01
2.157279239609875820e-10,6.463167356214579717e-01,0.000000000000000000e+00,3.536832643785420283e-01
2.214421878821905683e-10,6.416175272909989680e-01,0.000000000000000000e+00,3.583824727090010320e-01
2.270820252220921834e-10,6.371266244519208088e-01,0.000000000000000000e+00,3.628733755480791356e-01
2.319627746391074306e-10,6.333546289992411094e-01,0.000000000000000000e+00,3.666453710007588906e-01
2.384361264831967848e-10,6.285100096276704518e-01,0.000000000000000000e+00,3.714899903723294927e-01
2.429831882211128506e-10,6.252115912419968780e-01,0.000000000000000000e+00,3.747884087580030110e-01
2.497902277443013863e-10,6.204301216842590394e-01,0.000000000000000000e+00,3.795698783157409051e-01
2.545271751036506194e-10,6.172101808341383666e-01,0.000000000000000000e+00,3.827898191658615779e-01
2.611443290054060394e-10,6.128548587143671789e-01,0.000000000000000000e+00,3.871451412856327656e-01
2.666196099431019425e-10,6.093728297717329045e-01,0.000000000000000000e+00,3.906271702282669844e-01
2.724984302665106408e-10,6.057527039813956904e-01,0.000000000000000000e+00,3.942472960186042541e-01
2.792865491759911191e-10,6.017200741644374018e-01,0.000000000000000000e+00,3.982799258355625427e-01
2.838525315276152422e-10,5.990933705941611231e-01,0.000000000000000000e+00,4.009066294058388769e-01
2.925552871646580515e-10,5.942714351948544804e-01,0.000000000000000000e+00,4.057285648051455196e-01
2.952066327887198436e-10,5.928491532631148253e-01,0.000000000000000000e+00,4.071508467368850637e-01
3.064544150103780485e-10,5.870481366651870703e-01,0.000000000000000000e+00,4.129518633348129297e-01
3.065607340498244450e-10,5.869950517172932702e-01,0.000000000000000000e+00,4.130049482827066742e-01
3.179148353109290465e-10,5.815067249441602248e-01,0.000000000000000000e+00,4.184932750558396641e-01
3.210138821606580333e-10,5.800690191814878993e-01,0.000000000000000000e+00,4.199309808185119897e-01
3.292689365720336996e-10,5.763599771308499653e-01,0.000000000000000000e+00,4.236400228691499237e-01
3.362650609434589784e-10,5.733496430187596804e-01,0.000000000000000000e+00,4.266503569812401531e-01
3.406230378331383010e-10,5.715340620516509151e-01,0.000000000000000000e+00,4.284659379483489183e-01
3.519771390942429024e-10,5.670098639142159280e-01,0.000000000000000000e+00,4.329901360857839054e-01
3.522408141674006584e-10,5.669082305064422345e-01,0.000000000000000000e+00,4.330917694935576545e-01
